Happiness Rank,Country,Happiness Score,Economy,Family,Health,Freedom,Generosity,Corruption,Dystopia,Job Satisfaction,Region
65,Cyprus,5.620999812999999,1.3559380769999998,1.131363273,0.8447147009999999,0.355111539,0.27125430100000003,0.041237976,1.621249199,88.7,Eastern Europe
46,Poland,5.97300005,1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,0.059307806,1.7977228159999998,86.9,Eastern Europe
56,Moldova,5.837999821,0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,0.010091286,2.807808399,70.0,Eastern Europe
62,Slovenia,5.757999897,1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,0.045128979000000013,1.3133172990000002,88.5,Eastern Europe
105,Bulgaria,4.714000225,1.161459088,1.4343794580000002,0.70821768,0.289231718,0.113177694,0.011051531000000002,0.996139288,74.9,Eastern Europe
61,North Cyprus,5.809999942999999,1.346911311,1.186303377,0.834647238,0.471203625,0.266845703,0.155353352,1.549157619,,Eastern Europe
75,Hungary,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,0.036636937,1.716459274,82.4,Eastern Europe
73,Serbia,5.3949999810000016,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,0.040903781,1.947084427,68.5,Eastern Europe
87,Greece,5.227000237,1.289487481,1.239414573,0.810198903,0.095731251,0.0,0.043289777,1.749221563,79.2,Eastern Europe
52,Lithuania,5.90199995,1.314582348,1.4735161069999998,0.62894994,0.234231785,0.010164657,0.011865643,2.228440523,79.4,Eastern Europe
66,Estonia,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,0.183248922,1.357508659,77.8,Eastern Europe
54,Latvia,5.849999905,1.260748625,1.4047149419999998,0.638566971,0.325707912,0.153074786,0.073842727,1.993655205,82.1,Eastern Europe
78,Kosovo,5.278999805,0.951484382,1.137853503,0.54145205,0.260287941,0.319931448,0.057471618,2.010540724,84.7,Eastern Europe
92,Macedonia,5.1750001910000005,1.064577937,1.2078930140000002,0.644948184,0.325905979,0.253760964,0.060277794,1.617469311,70.6,Eastern Europe
109,Albania,4.644000053,0.996192753,0.803685248,0.7311597470000001,0.381498635,0.201312944,0.039864216,1.490441561,73.3,Eastern Europe
40,Slovakia,6.09800005,1.325393558,1.505059242,0.7127329109999999,0.295817465,0.136544481,0.024210852,2.097776651,81.4,Eastern Europe
57,Romania,5.824999809,1.217683911,1.15009129,0.685158312,0.4570037420000001,0.13351991800000002,0.004387901,2.176831484,75.1,Eastern Europe
77,Croatia,5.293000221000001,1.222556233,0.967983007,0.7012885209999999,0.255772293,0.248002976,0.04310311,1.854492426,77.1,Eastern Europe
67,Belarus,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,0.156313822,1.723232985,71.6,Eastern Europe
83,Montenegro,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,0.088174194,1.729191542,69.7,Eastern Europe
90,Bosnia and Herzegovina,5.18200016,0.982409418,1.069335938,0.7051863070000001,0.204403177,0.328867495,0.0,1.892172575,73.7,Eastern Europe
49,Russia,5.962999821,1.281778097,1.469282389,0.547349334,0.373783112,0.052263822,0.032962881,2.205607414,74.6,Eastern Europe
